period,rgdp,ngdp,k,lp,rva,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,mktpenw0,Z0,tau0,ntb0,rer1,tot1,nx1,ex1,im1,exrate1,texrate1,mktpen1,mktpenw1,Z1,tau1,ntb1
0,2283.6422587329475391,2283.6422501610663858,5585.3689791214064826,893.6590364678824017,1646.1340198137570496,4715.7685311244022159,335.1221364608667272,7.5474512214252023,1948.5201210141663068,38.2077145945109251,0.0000000000000000,97426.0056017567985691,0.0000000000000000,0.0000000000000000,1.0000000037536010,0.9999999852970164,1.0975559356413420,16.6010365931276489,15.5034806574863069,0.0404455581306681,0.0410000013090636,0.1619649111684753,0.2724481322932907,1.6221345537234504,0.0000000000000000,0.0000000000000000,1.0000000046980013,0.9999999841789848,-1.0975532801340080,111.0969833872640606,112.1945366673980686,0.0976467978870249,0.1000000029611821,0.1872965186991434,0.3285283018469313,2.4150902947392896,0.0000000000000000,0.0000000000000000
1,2283.6422589708909072,2283.6422567226468345,5585.3689780929025801,893.6590363243974480,1646.1340195365150976,4715.7685308700292808,335.1221373415975222,7.5474511821253207,1948.5201212993661102,38.2077433498522012,0.0000000000000000,97426.0058733755431604,0.0000000000000000,0.0000000000000000,1.0000000009844991,0.9999999894820233,1.0975554720909777,16.6010364528347196,15.5034809807437419,0.0404455581306682,0.0410000008445883,0.1619649100880294,0.2724481306370478,1.6221345491222630,0.0000000000000000,0.0000000000000000,1.0000000045988642,0.9999999832702973,-1.0975529451676636,111.0969840982473045,112.1945370434149680,0.0976467978870248,0.1000000030592170,0.1872965193185271,0.3285283015467394,2.4150902963377008,0.0000000000000000,0.0000000000000000
2,2283.6422598723875126,2283.6422524827712550,5585.3689770788532769,893.6590363481286658,1646.1340194660358520,4715.7685316809966025,335.1221371307460686,7.5474512213064813,1948.5201216572231715,38.2077726802330346,0.0000000000000000,97426.0056924221717054,0.0000000000000000,0.0000000000000000,1.0000000032358907,0.9999999858750200,1.0975558644418602,16.6010366203068926,15.5034807558650325,0.0404455581306682,0.0410000012351998,0.1619649115353703,0.2724481321089879,1.6221345545040533,0.0000000000000000,0.0000000000000000,1.0000000054257236,0.9999999866139638,-1.0975540609532857,111.0969842735082125,112.1945383344614982,0.0976467978870249,0.1000000032636141,0.1872965197805240,0.3285283020519140,2.4150902989010521,0.0000000000000000,0.0000000000000000
3,2283.6422598366621060,2283.6422531363423332,5585.3689766692859848,893.6590359569406701,1646.1340189454167557,4715.7685307123601888,335.1221368637641831,7.5474511648336451,1948.5201219896330258,38.2078025971275324,0.0000000000000000,97426.0057038009399548,0.0000000000000000,0.0000000000000000,1.0000000029340497,0.9999999883145895,1.0975556899431034,16.6010365212926345,15.5034808313495311,0.0404455581306681,0.0410000011790069,0.1619649116737878,0.2724481319619522,1.6221345547884634,0.0000000000000000,0.0000000000000000,1.0000000036079264,0.9999999842130863,-1.0975538141465222,111.0969843023172672,112.1945381164637894,0.0976467978870246,0.1000000026098451,0.1872965189579102,0.3285283012298769,2.4150902945105446,0.0000000000000000,0.0000000000000000
4,2284.4240383964197463,2281.9792237192355060,5585.3689759161579786,894.0452878143648832,1646.6083060463649872,4717.2510579671607047,335.1652062927619795,7.1611995913529896,1948.8997504752587702,38.2078331122778181,0.0000000000000000,97426.0057237355358666,0.0000000000000000,0.0000000000000000,1.0010713571148120,1.0014952824682293,1.0596410872847866,16.3938502363810450,15.3342091490962584,0.0383482058679886,0.0412130310250989,0.1627204315230835,0.2643413695040464,1.5957117250718009,0.0000000000000000,0.0000000000000000,1.0002243674448339,1.0010896035081625,-1.4477059895436355,109.7904590585735889,111.2381650481172244,0.0934344754357585,0.1001411104100602,0.1875764030831732,0.3210869828506484,2.3853641885904131,0.0000000000000000,0.0000000000000000
5,2284.3826046985168432,2285.2894806167978459,5585.7710770472385775,893.6558364631792983,1646.1695915678096753,4716.5614339945714164,335.4411024180936920,7.5506524004225604,1949.0746160326916652,38.2077153810764401,0.0000000000000000,97426.0056278679112438,0.0000000000000000,0.0000000000000000,0.9996031680336450,1.0016786747476483,0.9194290802857346,16.4638053179917669,15.5443762377060324,0.0404455581306682,0.0408209077054558,0.1598333711030048,0.2719222666863568,1.6146415037749171,0.0000000000000000,0.0000000000000000,0.9997962650656587,1.0007098240368346,-1.5990940103397833,110.6718988032399835,112.2709928135797668,0.0976467978870248,0.0998602148155008,0.1855048698039172,0.3283353261178679,2.4085487189914132,0.0000000000000000,0.0000000000000000
6,2284.4716056822612700,2285.7890683983796407,5585.9327932877795320,893.6706775588706932,1646.2037033593003343,4716.7008337416391441,335.5639526461174569,7.5358094672886233,1949.1010623942497659,38.2075267495254280,0.0000000000000000,97426.0057843315735226,0.0000000000000000,0.0000000000000000,0.9994236289190744,1.0014896169134748,0.9218887397696314,16.4975727363364477,15.5756839965668163,0.0404455581306681,0.0408272469683478,0.1611744636047588,0.2720567824564472,1.6188407734873691,0.0000000000000000,0.0000000000000000,0.9997329326490253,1.0006232409526350,-1.5968166802980335,110.8508191809558241,112.4476358612538576,0.0976467978870246,0.0999084295227003,0.1867266716850693,0.3283386243503584,2.4127637071425978,0.0000000000000000,0.0000000000000000
7,2285.6569401629117237,2281.2965576916672035,5586.1473552443394510,894.4184808854007542,1647.1430015785442720,4719.2739604308881098,335.4828829174055045,6.7880064947137964,1949.5328281702491040,38.2073239816098393,0.0000000000000000,97426.0059753780224128,0.0000000000000000,0.0000000000000000,1.0019113615266471,1.0038004944860242,0.9358153066593662,16.1276031743701012,15.1917878677107350,0.0347463165544571,0.0414307486762361,0.1710487093553699,0.2592680440268000,1.5667251827216113,0.0000000000000000,0.0000000000000000,1.0003376553740440,1.0025663070433326,-2.0664750115025754,108.2784946377085760,110.3449696492111514,0.0859243567415251,0.1003968634746947,0.1951959004159954,0.3163547309893288,2.3527602451231533,0.0000000000000000,0.0000000000000000
8,2283.8016122815174640,2278.1138014673192629,5587.1023539688530946,893.5954899266674829,1646.2262455853435767,4716.0641460548940813,334.2618228501707449,7.6109974987431634,1948.7052314695997666,38.2069479723441603,0.0000000000000000,97426.0060276653821347,0.0000000000000000,0.0000000000000000,1.0024967193520071,0.9997145647121152,1.2704709161068628,16.6789471826975131,15.4084762665906503,0.0404455581306682,0.0414143571462821,0.1603888777632582,0.2737337775934998,1.6178812723872278,0.0000000000000000,0.0000000000000000,1.0001615184456283,1.0007278882783377,-1.3622900310722059,110.3817884347684952,111.7440784658407011,0.0976467978870248,0.1000351085858441,0.1842640290478731,0.3285798087119873,2.4041166572489945,0.0000000000000000,0.0000000000000000
9,2283.9083219248477690,2278.6417381655683130,5586.9725885190528061,893.6391222873087372,1646.2670874194504904,4716.2311985752876353,334.3967961304934420,7.5673650747040764,1948.7386404801964090,38.2068888064760586,0.0000000000000000,97426.0058726946735987,0.0000000000000000,0.0000000000000000,1.0023112820550364,0.9991009041577785,1.3013805413439243,16.7593676458202268,15.4579871044763024,0.0404455581306682,0.0413783242267087,0.1629643442774266,0.2736270394851624,1.6268406230392496,0.0000000000000000,0.0000000000000000,1.0000220945914422,1.0005387193492359,-1.3506026900073778,110.7321839257285632,112.0827866157359409,0.0976467978870247,0.0999843461292230,0.1866547842619188,0.3285031029420328,2.4128859574167114,0.0000000000000000,0.0000000000000000
