period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,rex0,rim0,exrate0,mktpen0,tau0,ntb0,rer1,tot1,nx1,rex1,rim1,exrate1,mktpen1,tau1,ntb1
0,2283.6422616260751965,2283.6422562745833602,4715.7685348981394782,335.1221383274345840,0.0000000000000000,1948.5201232986410105,38.2091268596126241,38.2067652188077460,97426.0058220944192726,0.0000000000000000,0.0000000000000000,1.0000000023434021,0.9999999926585199,1.0975558237086833,16.6010366701165211,15.5034808464078377,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,1.0000000042218158,0.9999999917493126,-1.0975534440552224,111.0969844906288131,112.1945379346840355,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
1,2283.6422618651258745,2283.6422569618162015,4715.7685350624360581,335.1221384181661165,0.0000000000000000,1948.5201234469595875,38.2091838625931430,38.2067749847627169,97426.0058539048040984,0.0000000000000000,0.0000000000000000,1.0000000021471445,0.9999999928820349,1.0975557827325400,16.6010366537006639,15.5034808709681240,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,1.0000000040540082,0.9999999919401841,-1.0975536874371699,111.0969844022761635,112.1945380897133333,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
2,2283.6422620899879803,2283.6422575904757650,4715.7685352301914463,335.1221385004566287,0.0000000000000000,1948.5201235895315222,38.2092420057503261,38.2067849459837703,97426.0058833465009229,0.0000000000000000,0.0000000000000000,1.0000000019703228,0.9999999930834192,1.0975557458185161,16.6010366389802080,15.5034808931616919,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,1.0000000039029002,0.9999999921120588,-1.0975539066032809,111.0969843231919327,112.1945382297952136,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
3,2283.6422623015955651,2283.6422581658771378,4715.7685354000750522,335.1221385751252910,0.0000000000000000,1948.5201237264705014,38.2093013118970219,38.2067951063786779,97426.0059106145781698,0.0000000000000000,0.0000000000000000,1.0000000018110184,0.9999999932648579,1.0975557125653292,16.6010366257841824,15.5034809132188531,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,1.0000000037668302,0.9999999922668285,-1.0975541039640149,111.0969842524282853,112.1945383563923002,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
4,2283.8609288421807832,2284.3924305835948871,4715.9872019127224121,335.1963084614778836,0.0000000000000000,1948.6646203807026723,38.2093618043026026,38.2068054699333501,97426.0059358863945818,0.0000000000000000,0.0000000000000000,0.9997673334336992,1.0002730800240935,1.0333347726888018,16.5632254896735525,15.5343752041038066,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9999209175662882,1.0000881281945753,-1.2379200036033495,111.0210160250186817,112.2685374496268764,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
5,2284.5475808521255203,2286.7090515088011671,4716.6846192724624416,335.4520770728507273,0.0000000000000000,1949.0955037792750772,38.2093668363515917,38.2083202441946952,97426.0059593243640848,0.0000000000000000,0.0000000000000000,0.9990547679586023,1.0011097758005953,0.8363922364700649,16.4477084932319890,15.6294430395725126,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9996758837914964,1.0003613712924162,-1.6745568588229389,110.7851116987770439,112.4987043107924620,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
6,2284.5852066727193233,2286.7224770766488291,4716.7694833446184930,335.4861679619793904,0.0000000000000000,1949.0990387107403876,38.2092030309481245,38.2081355166858003,97426.0059810757229570,0.0000000000000000,0.0000000000000000,0.9990653564510237,1.0010974388063172,0.8378950216728303,16.4483271154928943,15.6283577080924836,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9996810499972574,1.0003555513740470,-1.6701621630203789,110.7875964969558709,112.4961614368819625,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
7,2284.6269107427656309,2286.7433796550808438,4716.8605371030998867,335.5252772850963083,0.0000000000000000,1949.1016334576693225,38.2090345652566370,38.2079457109190130,97426.0060012758622179,0.0000000000000000,0.0000000000000000,0.9990744615516736,1.0010868271586080,0.8389818230587345,16.4487132590287466,15.6274838822792361,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9996854452620247,1.0003506012508705,-1.6673256768969651,110.7892595132170044,112.4944490113196878,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
8,2284.6756471442877228,2274.4754578548077006,4716.9613357488315160,335.4672858986911592,0.0000000000000000,1949.2083612455962793,38.2088617147019960,38.2088617147019960,97426.0060200478765182,0.0000000000000000,0.0000000000000000,1.0044846336997049,1.0010931173486395,1.4071942061386622,17.0229487850417804,15.6265485209182273,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9997881059510759,1.0010853505321324,-2.1484607762844803,110.7982002927857934,113.0788295798792262,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
9,2284.6107847110006333,2273.9566799493691178,4716.9369960331932816,335.4382728889212899,0.0000000000000000,1949.1725118220792865,38.2086435767458141,38.2086435767458141,97426.0060375044413377,0.0000000000000000,0.0000000000000000,1.0046852716473766,1.0008629441868500,1.4493958232410122,17.0435060910560274,15.6008109232598180,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.9998242063234597,1.0010452179911022,-2.0961567215274073,110.8230567063929044,113.0470113934433698,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000
